stimulus,condition,trigger,corr_ans_encoding,corr_ans_recall
1,indoor,IO,left,left
2,indoor,IO,left,left
3,indoor,IO,left,left
4,indoor,IO,left,left
5,indoor,IO,left,left
6,indoor,IO,left,left
7,indoor,IO,left,left
8,indoor,IO,left,left
9,indoor,IO,left,left
10,indoor,IO,left,left
11,indoor,IO,left,left
12,indoor,IO,left,left
13,indoor,IO,left,left
14,indoor,IO,left,left
15,indoor,IO,left,left
16,indoor,IO,left,left
17,indoor,IO,left,left
18,indoor,IO,left,left
19,indoor,IO,left,left
20,indoor,IO,left,left
21,indoor,IO,left,left
22,indoor,IO,left,left
23,indoor,IO,left,left
24,indoor,IO,left,left
25,indoor,IO,left,left
26,indoor,IO,left,left
27,indoor,IO,left,left
28,indoor,IO,left,left
29,indoor,IO,left,left
30,indoor,IO,left,left
31,indoor,IO,left,left
32,indoor,IO,left,left
33,indoor,IO,left,left
34,indoor,IO,left,left
35,indoor,IO,left,left
36,indoor,IO,left,left
37,outdoor,OO,right,left
38,outdoor,OO,right,left
39,outdoor,OO,right,left
40,outdoor,OO,right,left
41,outdoor,OO,right,left
42,outdoor,OO,right,left
43,outdoor,OO,right,left
44,outdoor,OO,right,left
45,outdoor,OO,right,left
46,outdoor,OO,right,left
47,outdoor,OO,right,left
48,outdoor,OO,right,left
49,outdoor,OO,right,left
50,outdoor,OO,right,left
51,outdoor,OO,right,left
52,outdoor,OO,right,left
53,outdoor,OO,right,left
54,outdoor,OO,right,left
55,outdoor,OO,right,left
56,outdoor,OO,right,left
57,outdoor,OO,right,left
58,outdoor,OO,right,left
59,outdoor,OO,right,left
60,outdoor,OO,right,left
61,outdoor,OO,right,left
62,outdoor,OO,right,left
63,outdoor,OO,right,left
64,outdoor,OO,right,left
65,outdoor,OO,right,left
66,outdoor,OO,right,left
67,outdoor,OO,right,left
68,outdoor,OO,right,left
69,outdoor,OO,right,left
70,outdoor,OO,right,left
71,outdoor,OO,right,left
72,outdoor,OO,right,left
73,outdoor,OO,right,left
74,outdoor,OO,right,left
75,outdoor,OO,right,left
76,outdoor,OO,right,left
