stimulus,condition,trigger,corr_ans_encoding,corr_ans_recall
1,indoor,IO,right,right
2,indoor,IO,right,right
3,indoor,IO,right,right
4,indoor,IO,right,right
5,indoor,IO,right,right
6,indoor,IO,right,right
7,indoor,IO,right,right
8,indoor,IO,right,right
9,indoor,IO,right,right
10,indoor,IO,right,right
11,indoor,IO,right,right
12,indoor,IO,right,right
13,indoor,IO,right,right
14,indoor,IO,right,right
15,indoor,IO,right,right
16,indoor,IO,right,right
17,indoor,IO,right,right
18,indoor,IO,right,right
19,indoor,IO,right,right
20,indoor,IO,right,right
21,indoor,IO,right,right
22,indoor,IO,right,right
23,indoor,IO,right,right
24,indoor,IO,right,right
25,indoor,IO,right,right
26,indoor,IO,right,right
27,indoor,IO,right,right
28,indoor,IO,right,right
29,indoor,IO,right,right
30,indoor,IO,right,right
31,indoor,IO,right,right
32,indoor,IO,right,right
33,indoor,IO,right,right
34,indoor,IO,right,right
35,indoor,IO,right,right
36,indoor,IO,right,right
37,outdoor,OO,left,right
38,outdoor,OO,left,right
39,outdoor,OO,left,right
40,outdoor,OO,left,right
41,outdoor,OO,left,right
42,outdoor,OO,left,right
43,outdoor,OO,left,right
44,outdoor,OO,left,right
45,outdoor,OO,left,right
46,outdoor,OO,left,right
47,outdoor,OO,left,right
48,outdoor,OO,left,right
49,outdoor,OO,left,right
50,outdoor,OO,left,right
51,outdoor,OO,left,right
52,outdoor,OO,left,right
53,outdoor,OO,left,right
54,outdoor,OO,left,right
55,outdoor,OO,left,right
56,outdoor,OO,left,right
57,outdoor,OO,left,right
58,outdoor,OO,left,right
59,outdoor,OO,left,right
60,outdoor,OO,left,right
61,outdoor,OO,left,right
62,outdoor,OO,left,right
63,outdoor,OO,left,right
64,outdoor,OO,left,right
65,outdoor,OO,left,right
66,outdoor,OO,left,right
67,outdoor,OO,left,right
68,outdoor,OO,left,right
69,outdoor,OO,left,right
70,outdoor,OO,left,right
71,outdoor,OO,left,right
72,outdoor,OO,left,right
73,outdoor,OO,left,right
74,outdoor,OO,left,right
75,outdoor,OO,left,right
76,outdoor,OO,left,right
