stimulus,condition,trigger,corr_ans_encoding,corr_ans_recall
1,indoor,IN,left,right
2,indoor,IN,left,right
3,indoor,IN,left,right
4,indoor,IN,left,right
5,indoor,IN,left,right
6,indoor,IN,left,right
7,indoor,IN,left,right
8,indoor,IN,left,right
9,indoor,IN,left,right
10,indoor,IN,left,right
11,indoor,IN,left,right
12,indoor,IN,left,right
13,indoor,IN,left,right
14,outdoor,ON,right,right
15,outdoor,ON,right,right
16,outdoor,ON,right,right
17,outdoor,ON,right,right
18,outdoor,ON,right,right
19,outdoor,ON,right,right
20,outdoor,ON,right,right
21,outdoor,ON,right,right
22,outdoor,ON,right,right
23,outdoor,ON,right,right
24,outdoor,ON,right,right
25,outdoor,ON,right,right
26,outdoor,ON,right,right
