stimulus,condition,trigger,corr_ans_encoding,corr_ans_recall
1,indoor,IN,right,left
2,indoor,IN,right,left
3,indoor,IN,right,left
4,indoor,IN,right,left
5,indoor,IN,right,left
6,indoor,IN,right,left
7,indoor,IN,right,left
8,indoor,IN,right,left
9,indoor,IN,right,left
10,indoor,IN,right,left
11,indoor,IN,right,left
12,indoor,IN,right,left
13,indoor,IN,right,left
14,outdoor,ON,left,left
15,outdoor,ON,left,left
16,outdoor,ON,left,left
17,outdoor,ON,left,left
18,outdoor,ON,left,left
19,outdoor,ON,left,left
20,outdoor,ON,left,left
21,outdoor,ON,left,left
22,outdoor,ON,left,left
23,outdoor,ON,left,left
24,outdoor,ON,left,left
25,outdoor,ON,left,left
26,outdoor,ON,left,left
